,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
283,1,2,1,2,1,15,20,3,29,27,0
284,2,2,5,8,4,11,16,8,23,19,3
285,1,2,2,1,23,1,27,35,3,5,1
286,1,2,0,9,0,15,0,34,39,0,2
287,1,2,4,12,16,7,14,14,17,13,3
288,1,2,3,3,3,26,4,26,27,4,2
289,1,2,5,15,17,3,2,1,26,27,0
290,1,2,2,11,23,8,2,21,28,2,2
291,5,2,8,10,14,16,5,29,6,4,1
292,3,2,6,11,11,21,11,11,11,11,3
293,3,2,11,15,18,11,22,6,4,7,1
294,10,2,1,1,2,1,5,24,24,30,0
295,1,2,1,1,15,21,24,1,1,34,3
296,5,2,10,15,10,21,25,5,3,3,1
297,3,2,0,10,0,16,7,22,10,29,3
298,1,2,3,17,14,4,3,2,21,33,0
299,10,2,1,1,1,1,1,39,20,25,0
300,1,2,5,5,7,20,20,20,20,0,2
301,2,2,7,9,2,15,17,20,21,5,2
302,2,2,2,2,2,20,20,20,20,10,2
303,1,2,7,9,1,1,30,48,1,1,1
304,2,2,6,8,10,12,14,18,26,1,2
305,2,2,2,6,16,20,20,22,5,5,1
306,1,2,1,18,1,1,18,26,32,1,2
307,1,2,7,17,17,18,22,5,6,4,1
308,1,2,2,5,5,5,21,26,32,1,2
309,3,2,7,10,20,0,29,29,0,0,1
310,5,2,8,5,10,2,2,16,24,25,0
311,1,2,1,7,1,20,3,26,14,25,3
312,1,2,1,1,1,10,15,20,20,30,3
313,5,2,12,12,14,20,3,3,5,22,3
314,8,2,0,0,0,0,0,30,30,29,0
315,1,2,0,2,23,4,4,27,31,6,2
316,1,2,1,3,5,13,1,1,37,37,0
317,1,2,5,1,1,1,21,1,33,33,0
318,1,2,4,8,10,13,16,1,34,10,2
319,1,2,1,5,1,10,1,20,0,59,3
320,2,2,8,10,13,2,27,31,2,2,1
321,1,2,2,16,20,2,3,1,32,22,0
322,1,2,1,1,1,18,21,26,29,1,2
323,1,2,5,7,9,13,16,18,15,13,3
324,1,2,1,10,13,17,25,30,1,1,1
325,1,2,1,1,10,15,20,25,25,1,2
326,1,2,1,1,3,7,1,21,1,62,3
327,1,2,2,12,2,19,2,25,3,31,3
328,6,2,1,1,1,38,39,1,1,11,1
329,2,2,2,3,5,21,21,2,21,21,3
330,2,2,5,1,24,1,1,26,36,2,2
331,5,2,8,11,16,26,32,0,0,0,1
332,1,2,2,4,6,8,10,20,40,8,2
333,0,2,0,14,17,20,23,25,0,0,1
334,2,2,5,7,9,11,12,14,16,20,3
335,1,2,2,2,2,3,4,8,18,58,0
336,0,2,0,13,15,18,25,27,0,0,1
337,1,2,7,9,11,13,16,18,20,1,2
338,2,2,1,10,12,2,19,25,25,3,2
339,1,2,1,1,1,23,5,33,30,4,2
340,0,2,1,20,22,4,5,6,10,31,3
341,1,2,2,12,15,16,4,26,18,4,2
342,5,2,8,11,16,21,27,3,3,3,1
343,1,2,1,14,1,22,25,1,32,1,2
344,0,2,0,0,5,20,20,20,20,15,3
345,1,2,2,7,3,12,7,22,8,37,3
346,2,2,2,2,10,12,14,16,18,20,3
347,1,2,3,8,8,2,2,22,22,31,0
348,0,2,1,3,1,1,22,23,24,25,3
349,0,2,0,0,20,23,0,29,26,0,2
350,0,2,3,11,14,15,5,5,35,10,2
351,4,2,6,12,22,27,27,0,0,0,1
352,1,2,1,1,10,28,28,28,1,1,1
353,0,2,4,4,7,27,4,21,27,4,2
354,2,2,12,2,2,12,2,2,32,32,0
355,2,2,0,0,0,17,18,18,20,25,3
356,7,2,7,14,14,7,12,12,12,14,3
357,0,2,4,0,11,0,29,30,0,24,3
358,0,2,1,10,0,0,29,29,30,0,2
359,0,2,1,2,20,22,3,24,27,0,2
360,0,2,10,0,0,20,27,31,5,5,1
