,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
1143,0,2,0,10,15,16,17,18,24,0,2
1144,0,2,1,3,18,16,19,13,22,6,2
1145,2,2,3,3,10,12,14,16,18,20,3
1146,0,2,3,4,15,22,1,2,31,20,0
1147,4,2,4,6,0,0,26,26,26,7,2
1148,1,2,1,1,1,19,25,25,25,1,2
1149,3,2,8,10,14,0,26,30,3,3,1
1150,1,2,1,3,13,1,24,12,21,22,3
1151,2,2,6,8,10,12,14,18,14,12,3
1152,0,2,0,0,0,0,20,29,49,0,2
1153,10,2,0,0,0,0,0,29,29,29,0
1154,0,2,5,5,5,7,8,11,20,36,0
1155,4,2,7,2,3,19,3,30,3,27,3
1156,2,2,3,5,8,10,10,15,20,25,3
1157,5,2,1,10,9,12,5,0,18,39,0
1158,0,2,3,3,13,13,21,20,0,25,3
1159,1,2,6,11,21,27,32,0,0,0,1
1160,0,2,0,15,20,20,20,25,0,0,1
1161,1,2,2,2,2,14,20,25,30,3,2
1162,0,2,5,2,12,19,2,2,24,31,0
1163,0,2,2,4,7,15,15,25,3,27,3
1164,0,2,11,3,2,22,2,2,29,28,0
1165,1,2,4,7,13,12,15,3,22,21,3
1166,1,2,5,0,0,14,19,2,24,32,0
1167,1,2,3,6,12,13,18,31,2,13,1
1168,5,2,9,2,18,3,0,0,29,31,0
1169,3,2,5,6,8,14,15,16,18,12,3
1170,1,2,5,6,8,12,19,19,20,7,2
1171,98,2,0,0,0,0,0,0,0,0,3
1172,1,2,2,3,5,13,8,21,13,33,3
1173,0,2,11,14,3,4,5,5,32,24,0
1174,0,2,0,12,0,0,18,29,39,0,2
1175,0,2,5,0,10,16,25,21,20,0,2
1176,7,2,2,11,0,6,24,5,33,10,2
1177,0,2,7,3,5,2,16,17,27,22,0
1178,1,2,1,8,8,16,16,22,22,5,2
1179,0,2,0,10,10,12,14,16,18,20,3
1180,2,2,6,7,9,11,13,14,16,18,3
1181,2,2,3,6,19,15,19,22,11,0,1
1182,0,2,3,1,12,17,2,30,2,31,3
1183,1,2,1,1,1,1,50,25,12,7,1
1184,2,2,2,12,3,3,26,3,26,21,0
1185,1,2,3,6,12,17,16,18,23,3,2
1186,1,2,1,1,18,24,25,26,1,2,1
1187,1,2,2,6,0,0,27,30,33,0,2
1188,0,2,2,16,21,2,3,1,32,22,0
1189,0,2,1,1,22,24,1,4,25,22,0
1190,10,2,0,0,0,0,0,25,36,27,0
1191,1,2,9,12,16,2,2,2,25,28,0
1192,1,2,3,4,4,14,12,19,24,16,2
1193,1,2,8,1,5,5,14,19,8,37,3
1194,0,2,0,5,12,16,18,24,25,0,2
1195,3,2,3,5,16,20,6,19,7,18,3
1196,1,2,11,14,18,22,1,1,1,30,3
1197,2,2,5,5,5,5,20,24,6,26,3
1198,0,2,11,11,1,20,22,33,1,0,1
1199,1,2,5,6,7,5,5,31,5,32,3
1200,0,2,0,0,0,0,10,20,29,39,0
1201,1,2,13,1,1,23,2,3,26,29,0
1202,1,2,1,9,22,24,24,6,6,6,1
1203,1,2,3,2,22,4,3,3,34,25,0
1204,2,2,2,2,2,20,24,24,20,2,2
1205,0,2,1,3,19,10,12,7,12,33,3
1206,1,2,2,16,21,3,2,1,32,21,0
1207,1,2,1,1,1,20,25,30,1,19,1
1208,0,2,5,5,5,10,15,15,15,30,3
1209,0,2,0,2,20,18,2,24,31,2,2
1210,2,2,5,4,11,13,16,6,6,34,3
1211,10,2,1,1,1,1,1,28,28,28,0
1212,0,2,2,6,15,10,27,32,4,3,1
1213,1,2,15,20,20,20,20,1,1,1,1
1214,0,2,10,0,0,0,10,20,25,34,0
1215,2,2,3,6,6,10,10,20,20,20,3
1216,0,2,10,0,2,1,20,29,6,31,3
1217,1,2,3,3,3,17,17,3,20,32,3
1218,0,2,0,1,17,23,27,3,4,24,3
1219,3,2,0,0,0,0,0,30,32,32,0
1220,2,2,4,10,2,24,20,2,3,30,3
1221,2,2,6,3,3,21,21,18,3,21,3
1222,1,2,2,4,6,9,13,17,21,26,3
1223,2,2,8,12,2,21,23,26,2,2,1
1224,2,2,2,2,2,10,14,16,24,26,0
1225,0,2,0,0,18,23,26,1,6,24,3
1226,1,2,1,0,0,20,20,22,35,0,2
1227,6,2,2,2,1,3,6,24,34,21,0
1228,1,2,5,7,9,11,13,15,17,19,3
1229,0,2,0,16,21,1,2,1,34,24,0
1230,2,2,3,11,11,16,16,16,21,2,2
1231,1,2,8,19,6,20,18,22,3,2,1
1232,0,2,2,3,16,19,22,5,6,26,3
1233,0,2,0,10,10,25,25,15,10,5,1
1234,3,2,6,8,15,22,4,3,30,8,2
1235,3,2,7,5,8,9,10,13,20,21,3
1236,0,2,3,12,12,17,12,17,12,12,3
1237,5,2,0,12,0,13,0,29,34,5,2
1238,0,2,3,5,11,13,21,22,14,11,1
1239,1,2,1,1,16,16,2,29,30,3,2
1240,1,2,2,16,20,2,3,1,32,22,0
1241,1,2,1,1,1,15,18,26,34,2,2
1242,1,2,1,1,1,1,1,31,31,31,0
1243,2,2,8,16,20,20,16,8,4,2,1
1244,3,2,5,13,0,0,0,0,36,41,0
1245,2,2,5,7,9,11,13,15,16,18,3
1246,0,2,13,13,14,14,12,12,11,11,3
1247,0,2,0,0,0,14,14,14,32,25,0
1248,1,2,4,6,12,2,16,18,22,17,3
1249,5,2,7,8,12,0,20,22,22,1,2
1250,2,2,2,2,19,19,2,24,26,2,2
1251,3,2,8,15,18,23,30,0,0,0,1
1252,1,2,11,0,0,0,23,28,0,36,3
1253,1,2,1,1,1,1,13,40,40,1,2
1254,0,2,0,0,0,0,12,12,12,63,0
1255,1,2,1,1,20,20,24,1,1,30,3
1256,2,2,4,1,17,6,21,6,36,6,2
1257,2,2,5,7,9,11,13,15,16,18,3
1258,1,2,1,1,1,1,3,27,30,34,0
1259,2,2,5,6,6,6,29,6,6,32,3
1260,4,2,5,0,2,2,18,29,20,19,3
1261,1,2,3,5,7,9,17,21,3,33,3
1262,1,2,3,2,3,12,21,26,26,4,2
1263,0,2,11,14,0,21,25,28,0,0,1
1264,2,2,2,2,2,22,30,30,4,4,1
1265,1,2,4,6,16,17,19,7,7,22,3
1266,1,2,1,15,15,0,0,0,34,33,0
1267,2,2,2,4,5,15,15,15,20,20,3
1268,2,2,2,6,8,16,26,34,2,2,1
1269,6,2,1,1,1,0,0,30,30,30,0
1270,1,2,3,12,18,21,18,12,10,3,1
1271,1,2,0,3,3,22,2,32,33,3,2
1272,0,2,2,13,21,5,8,13,34,3,2
1273,2,2,2,2,2,10,25,25,25,5,2
1274,2,2,3,3,22,22,32,4,4,6,1
1275,1,2,0,0,17,20,25,35,0,0,1
1276,0,2,4,10,5,15,25,10,0,30,3
1277,2,2,6,9,11,14,16,18,20,0,2
1278,2,2,3,7,10,14,19,22,19,3,2
1279,0,2,1,13,1,19,2,31,2,30,3
1280,2,2,0,0,0,0,0,9,41,46,0
1281,3,2,8,10,13,3,25,27,4,4,1
1282,1,2,14,22,1,12,12,12,11,11,3
1283,2,2,5,10,0,0,24,24,34,0,2
1284,0,2,4,12,15,4,27,33,3,1,1
1285,2,2,3,5,5,7,8,26,26,16,2
1286,1,2,3,4,5,9,20,21,5,30,3
1287,1,2,0,25,1,1,25,25,17,2,2
1288,0,2,5,10,5,4,15,10,25,25,0
1289,1,2,1,1,1,6,13,19,25,32,0
1290,4,2,4,12,2,18,19,28,5,5,1
1291,4,2,8,6,7,15,18,6,18,14,3
1292,4,2,7,1,1,15,18,21,18,14,3
1293,1,2,1,7,10,10,20,0,20,30,3
1294,3,2,7,11,14,16,19,22,3,3,1
1295,5,2,5,7,22,23,22,2,2,10,1
1296,0,2,3,8,5,19,19,20,20,3,2
1297,3,2,3,3,3,3,3,26,26,27,0
1298,1,2,1,1,1,1,23,69,1,1,1
1299,3,2,1,9,18,13,15,20,11,7,1
1300,0,2,2,16,21,2,3,1,32,22,0
1301,2,2,3,5,5,8,10,15,20,30,0
1302,1,2,1,5,5,15,16,1,24,31,0
1303,1,2,4,10,21,12,26,16,4,4,1
1304,2,2,6,9,0,3,3,21,24,29,0
1305,3,2,7,4,4,24,5,34,8,8,1
1306,0,2,1,14,7,7,17,22,23,9,2
1307,1,2,1,6,6,12,16,21,31,5,2
1308,2,2,1,1,1,13,22,34,24,1,2
1309,2,2,10,10,10,5,20,30,5,5,1
1310,4,2,9,11,17,19,0,0,0,38,3
1311,1,2,8,16,16,5,14,15,18,5,2
1312,1,2,1,8,1,13,15,17,19,21,3
1313,0,2,0,18,18,2,2,2,33,24,0
1314,1,2,4,8,10,12,13,15,17,18,3
1315,0,2,2,16,21,2,3,1,32,22,0
1316,0,2,3,3,16,6,16,21,4,30,3
1317,1,2,0,0,0,0,10,26,28,32,0
